epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,172.179,2.20821,1.8109,0.01283,0.55922,0.57527,0.51388,0.14979,2.40498,1.67576,0.02055,0.000663946,0.000663946,0.000663946
2,338.291,2.15705,1.75108,0.01255,0.57968,0.52688,0.54574,0.16531,2.31784,1.6428,0.02016,0.00132971,0.00132971,0.00132971
3,504.244,2.08247,1.88181,0.01211,0.6147,0.54301,0.60524,0.19452,2.20129,1.70946,0.01884,0.00199186,0.00199186,0.00199186
4,669.808,2.15795,1.83242,0.01266,0.59378,0.55796,0.55326,0.16141,2.31988,1.89298,0.01995,0.00198781,0.00198781,0.00198781
5,835.04,2.08674,1.91218,0.0119,0.64872,0.58579,0.61647,0.1785,2.33941,1.68588,0.01993,0.00197837,0.00197837,0.00197837
6,999.897,2.12616,1.72742,0.01264,0.65549,0.54032,0.54154,0.14563,2.46414,1.63113,0.02113,0.00196627,0.00196627,0.00196627
7,1164.94,2.16616,1.66466,0.0129,0.69103,0.57116,0.62612,0.19418,2.27318,1.53706,0.01953,0.00195155,0.00195155,0.00195155
8,1329.88,2.11267,1.66054,0.01221,0.67762,0.5594,0.61697,0.20736,2.28249,1.49073,0.01968,0.00193424,0.00193424,0.00193424
9,1495.52,2.11772,1.7061,0.01244,0.736,0.56989,0.62183,0.19227,2.3449,1.62356,0.02055,0.00191441,0.00191441,0.00191441
10,1660.63,2.15415,1.58745,0.01267,0.63147,0.62634,0.64249,0.20632,2.26679,1.49605,0.0199,0.0018921,0.0018921,0.0018921
11,1825.78,2.12039,1.60023,0.01237,0.71102,0.64247,0.66236,0.21454,2.34039,1.38494,0.02014,0.00186737,0.00186737,0.00186737
12,1991.01,2.08493,1.63594,0.01214,0.73208,0.57796,0.6541,0.19774,2.38975,1.5393,0.02068,0.00184028,0.00184028,0.00184028
13,2156.22,2.08495,1.60351,0.01211,0.64419,0.59677,0.63554,0.20452,2.3395,1.43154,0.02,0.00181093,0.00181093,0.00181093
14,2321.08,2.06096,1.56558,0.01189,0.66054,0.59631,0.64778,0.2083,2.3095,1.43693,0.01964,0.00177937,0.00177937,0.00177937
15,2485.91,2.00089,1.56121,0.01157,0.71571,0.5672,0.64517,0.19979,2.34565,1.44668,0.0203,0.00174571,0.00174571,0.00174571
16,2650.96,2.07323,1.54271,0.01194,0.69307,0.68011,0.67431,0.21738,2.34032,1.31497,0.01999,0.00171004,0.00171004,0.00171004
17,2816.18,2.06761,1.43643,0.01225,0.67915,0.6371,0.68993,0.22519,2.32268,1.35508,0.01998,0.00167244,0.00167244,0.00167244
18,2981.47,2.06469,1.47308,0.01205,0.66354,0.63172,0.65985,0.20869,2.34663,1.41996,0.02038,0.00163303,0.00163303,0.00163303
19,3146.28,2.05087,1.41921,0.01165,0.70184,0.63279,0.6787,0.22406,2.34586,1.28912,0.02031,0.00159191,0.00159191,0.00159191
20,3311.56,2.03376,1.37784,0.01206,0.72978,0.61022,0.69656,0.22254,2.26647,1.42291,0.01968,0.00154919,0.00154919,0.00154919
21,3476.86,2.01958,1.47639,0.0118,0.77087,0.65591,0.73297,0.23564,2.29304,1.30134,0.01978,0.001505,0.001505,0.001505
22,3642.29,2.07171,1.37921,0.01197,0.69598,0.64516,0.68693,0.22174,2.34477,1.35793,0.02005,0.00145945,0.00145945,0.00145945
23,3807.11,2.02055,1.33676,0.01185,0.72042,0.60484,0.69083,0.21952,2.28016,1.46426,0.01971,0.00141267,0.00141267,0.00141267
24,3972.18,1.99624,1.35366,0.01179,0.72334,0.66935,0.69888,0.22493,2.40778,1.21852,0.02073,0.00136478,0.00136478,0.00136478
25,4137.07,1.99379,1.32051,0.01134,0.74,0.66935,0.71429,0.23326,2.36818,1.20033,0.0203,0.00131593,0.00131593,0.00131593
26,4302.23,1.9701,1.26301,0.01127,0.77571,0.64785,0.74477,0.24408,2.27522,1.2708,0.01963,0.00126623,0.00126623,0.00126623
27,4467.54,1.91729,1.25692,0.01113,0.75853,0.63978,0.70828,0.23662,2.29045,1.25107,0.01974,0.00121583,0.00121583,0.00121583
28,4632.25,1.95693,1.24311,0.01152,0.75102,0.67742,0.72121,0.23054,2.35824,1.25183,0.02011,0.00116487,0.00116487,0.00116487
29,4797.17,1.94586,1.2182,0.01132,0.76185,0.65356,0.7126,0.24264,2.3082,1.23048,0.01972,0.00111348,0.00111348,0.00111348
30,4962.37,1.94816,1.15361,0.01136,0.73039,0.68455,0.72176,0.22879,2.41842,1.21182,0.021,0.00106181,0.00106181,0.00106181
31,5127.19,1.93822,1.10028,0.01095,0.7215,0.72312,0.71611,0.22579,2.41961,1.22256,0.02094,0.00101,0.00101,0.00101
32,5293.43,1.90095,1.1232,0.01118,0.7517,0.71774,0.74009,0.23407,2.40799,1.15845,0.02077,0.000958187,0.000958187,0.000958187
33,5458.23,1.89885,1.13696,0.01081,0.81028,0.73478,0.78926,0.25409,2.38613,1.06788,0.02057,0.000906517,0.000906517,0.000906517
34,5623.52,1.89391,1.00318,0.01093,0.78611,0.73925,0.7568,0.24828,2.42748,1.07486,0.02106,0.00085513,0.00085513,0.00085513
35,5788.35,1.87656,0.98328,0.01098,0.74683,0.76128,0.75808,0.23418,2.47526,1.08281,0.02154,0.000804167,0.000804167,0.000804167
36,5953.2,1.86031,1.03781,0.01045,0.77365,0.71505,0.73849,0.23971,2.46012,1.06914,0.02138,0.000753769,0.000753769,0.000753769
37,6118.21,1.86042,0.98153,0.01076,0.77756,0.65777,0.70114,0.23223,2.46211,1.11093,0.02124,0.000704073,0.000704073,0.000704073
38,6283.38,1.82848,0.97027,0.01051,0.78201,0.71505,0.7271,0.23653,2.47625,1.03269,0.02138,0.000655216,0.000655216,0.000655216
39,6447.99,1.83456,0.96547,0.01049,0.7601,0.72581,0.74401,0.23002,2.50285,1.09414,0.02177,0.000607331,0.000607331,0.000607331
40,6612.96,1.76845,0.91031,0.01003,0.73861,0.73683,0.71895,0.23893,2.4616,1.12297,0.02139,0.000560549,0.000560549,0.000560549
41,6777.8,1.81282,0.90059,0.0101,0.83154,0.75,0.7675,0.23873,2.53789,1.04208,0.022,0.000515,0.000515,0.000515
42,6942.66,1.74565,0.89989,0.00973,0.77402,0.67742,0.72407,0.24159,2.45943,1.1458,0.02145,0.000470807,0.000470807,0.000470807
43,7107.32,1.76627,0.84832,0.01009,0.79128,0.70968,0.73013,0.2288,2.51969,1.10398,0.02173,0.000428093,0.000428093,0.000428093
44,7272.02,1.77086,0.94858,0.01022,0.79372,0.72312,0.73991,0.2247,2.50708,1.10751,0.02161,0.000386973,0.000386973,0.000386973
45,7436.72,1.72385,0.875,0.00959,0.79387,0.71505,0.7447,0.24167,2.47908,1.11672,0.02165,0.000347561,0.000347561,0.000347561
46,7601.91,1.67222,0.82852,0.00963,0.80801,0.75,0.75653,0.24255,2.48533,1.09416,0.0215,0.000309964,0.000309964,0.000309964
47,7766.63,1.67374,0.83985,0.00933,0.78231,0.72043,0.72428,0.23228,2.50331,1.14561,0.02175,0.000274287,0.000274287,0.000274287
48,7931.63,1.65315,0.82459,0.00949,0.82186,0.69355,0.7334,0.23031,2.51558,1.12479,0.02178,0.000240625,0.000240625,0.000240625
49,8096.41,1.63391,0.79845,0.00906,0.80586,0.71413,0.72564,0.2281,2.53559,1.09938,0.02192,0.000209073,0.000209073,0.000209073
50,8261.3,1.63683,0.80388,0.00918,0.81285,0.69892,0.71724,0.22561,2.5172,1.11174,0.02171,0.000179716,0.000179716,0.000179716
51,8426.86,1.69717,0.62497,0.01127,0.7725,0.71197,0.72144,0.22073,2.50372,1.17673,0.02164,0.000152635,0.000152635,0.000152635
52,8591.54,1.63864,0.5914,0.01093,0.82084,0.72043,0.74633,0.22481,2.53063,1.10974,0.02179,0.000127904,0.000127904,0.000127904
53,8756,1.61699,0.58029,0.01076,0.78957,0.71237,0.72505,0.22015,2.54271,1.12451,0.02201,0.00010559,0.00010559,0.00010559
54,8920.58,1.58812,0.57739,0.01055,0.77855,0.72312,0.7289,0.21776,2.55285,1.12378,0.02203,8.57554e-05,8.57554e-05,8.57554e-05
55,9085.09,1.617,0.5673,0.01042,0.77889,0.71237,0.7198,0.21619,2.54463,1.18607,0.022,6.8454e-05,6.8454e-05,6.8454e-05
56,9249.76,1.60797,0.55968,0.0109,0.80232,0.70918,0.72208,0.21483,2.54425,1.15689,0.02198,5.37334e-05,5.37334e-05,5.37334e-05
57,9414.18,1.60669,0.54982,0.01082,0.77867,0.70932,0.70733,0.21325,2.53859,1.14687,0.02195,4.16339e-05,4.16339e-05,4.16339e-05
58,9578.75,1.57519,0.55232,0.01033,0.79294,0.72062,0.7272,0.2166,2.53977,1.15399,0.02196,3.21885e-05,3.21885e-05,3.21885e-05
59,9743.38,1.56276,0.54852,0.01002,0.77862,0.70911,0.70537,0.21463,2.54561,1.17283,0.02201,2.54233e-05,2.54233e-05,2.54233e-05
60,9907.78,1.57595,0.5618,0.01044,0.78831,0.72077,0.72244,0.21771,2.55092,1.16968,0.02207,2.13568e-05,2.13568e-05,2.13568e-05
