epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,540.881,1.93148,3.02045,0.00899,0.68492,0.68455,0.70942,0.28757,1.97528,1.61889,0.01158,0.000665833,0.000665833,0.000665833
2,1070.21,1.97496,1.58692,0.00941,0.73119,0.68925,0.7453,0.29966,1.98097,1.46436,0.01175,0.00131003,0.00131003,0.00131003
3,1598.78,1.98405,1.50778,0.01086,0.70904,0.68152,0.72777,0.28631,1.99388,1.40944,0.01161,0.00186659,0.00186659,0.00186659
4,2125.02,1.9245,1.44331,0.01028,0.72424,0.632,0.72937,0.30779,1.88075,1.43134,0.01086,0.00171004,0.00171004,0.00171004
5,2651.76,1.88546,1.35511,0.01006,0.77548,0.69459,0.76659,0.3119,2.01118,1.29495,0.01201,0.001505,0.001505,0.001505
6,3178.15,1.86621,1.27833,0.00998,0.80211,0.73084,0.79697,0.33487,1.99335,1.17568,0.01172,0.00126623,0.00126623,0.00126623
7,3704.38,1.82238,1.24312,0.0097,0.77249,0.69199,0.77655,0.3422,1.89199,1.19771,0.01107,0.00101,0.00101,0.00101
8,4230.82,1.78361,1.18677,0.00951,0.76886,0.7056,0.78716,0.35637,1.84573,1.17375,0.01066,0.000753769,0.000753769,0.000753769
9,4757.11,1.75126,1.15536,0.00926,0.7758,0.73262,0.80549,0.36273,1.8614,1.15442,0.01077,0.000515,0.000515,0.000515
10,5283.75,1.72646,1.12476,0.00914,0.78892,0.70945,0.79722,0.36088,1.8479,1.12857,0.01072,0.000309964,0.000309964,0.000309964
11,5809.28,1.7244,1.08884,0.00908,0.80437,0.72787,0.81008,0.3701,1.84012,1.11225,0.0106,0.000152635,0.000152635,0.000152635
12,6335.03,1.71425,1.08195,0.00899,0.79996,0.71598,0.80508,0.3705,1.83286,1.1147,0.01057,5.37334e-05,5.37334e-05,5.37334e-05
