epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,523.951,1.91229,4.52924,0.00873,0.39754,0.4361,0.34243,0.14834,2.01195,2.23698,0.01232,0.000416111,0.000416111,0.000416111
2,1031.39,1.91985,2.04583,0.0089,0.34026,0.48805,0.34478,0.13984,2.08552,2.11262,0.01277,0.000832213,0.000832213,0.000832213
3,1537.27,1.927,1.96893,0.009,0.38196,0.53546,0.38153,0.1605,2.00374,2.03364,0.01237,0.00124606,0.00124606,0.00124606
4,2041.85,1.90028,1.87401,0.00882,0.46263,0.53279,0.42183,0.18197,2.06178,1.9761,0.01232,0.00124238,0.00124238,0.00124238
5,2548.4,1.88279,1.817,0.00869,0.43223,0.51402,0.41687,0.17857,1.9891,1.96448,0.01193,0.00123648,0.00123648,0.00123648
6,3054.24,1.87101,1.78331,0.00858,0.45272,0.54889,0.44226,0.19329,1.97219,1.9596,0.01182,0.00122892,0.00122892,0.00122892
7,3561.4,1.85491,1.74546,0.00858,0.44725,0.54575,0.46121,0.20148,1.98619,1.84814,0.01197,0.00121972,0.00121972,0.00121972
8,4066.36,1.83433,1.7705,0.00858,0.42005,0.54113,0.44269,0.20327,1.97638,1.85708,0.01197,0.0012089,0.0012089,0.0012089
9,4571.61,1.82402,1.70805,0.00849,0.44697,0.53233,0.45413,0.21002,1.92464,1.86657,0.01128,0.00119651,0.00119651,0.00119651
10,5076.29,1.81798,1.73667,0.00834,0.4451,0.55822,0.45967,0.2066,1.928,1.8719,0.01139,0.00118256,0.00118256,0.00118256
11,5579.8,1.80242,1.70614,0.00829,0.47604,0.52252,0.46052,0.21762,1.89027,1.85201,0.01131,0.0011671,0.0011671,0.0011671
12,6084.24,1.79744,1.68441,0.00828,0.46203,0.55536,0.4664,0.21381,1.96718,1.68668,0.01206,0.00115018,0.00115018,0.00115018
13,6588.17,1.78542,1.67496,0.00817,0.47373,0.56097,0.46718,0.21675,1.95195,1.71704,0.01188,0.00113183,0.00113183,0.00113183
14,7093.3,1.7895,1.63982,0.00811,0.47582,0.54796,0.46827,0.21823,1.90411,1.69914,0.01143,0.00111211,0.00111211,0.00111211
15,7598.54,1.76938,1.63441,0.00816,0.47611,0.5371,0.47922,0.21755,1.92967,1.74461,0.01168,0.00109107,0.00109107,0.00109107
16,8103.29,1.7705,1.65517,0.00808,0.4858,0.5544,0.4897,0.22433,1.91134,1.77579,0.01161,0.00106877,0.00106877,0.00106877
17,8608.89,1.76029,1.61308,0.00804,0.51085,0.54537,0.50119,0.22766,1.92277,1.82401,0.01137,0.00104527,0.00104527,0.00104527
18,9114.01,1.75168,1.61702,0.008,0.48607,0.56516,0.48775,0.2264,1.94056,1.69721,0.01163,0.00102064,0.00102064,0.00102064
19,9619.6,1.76695,1.57486,0.00813,0.48411,0.52035,0.47133,0.21776,1.89175,1.73448,0.01159,0.000994942,0.000994942,0.000994942
20,10123.6,1.75647,1.55947,0.00804,0.49896,0.54921,0.49376,0.22748,1.92459,1.76596,0.01154,0.000968245,0.000968245,0.000968245
21,10633.2,1.73037,1.56617,0.00786,0.49249,0.54248,0.48248,0.22058,1.92582,1.77744,0.0116,0.000940625,0.000940625,0.000940625
22,11139.8,1.73972,1.51977,0.00789,0.50441,0.56505,0.4996,0.22865,1.94082,1.74507,0.0118,0.000912157,0.000912157,0.000912157
23,11646.3,1.73174,1.52067,0.00791,0.48831,0.56994,0.49487,0.22946,1.94582,1.73836,0.01145,0.000882918,0.000882918,0.000882918
24,12153.3,1.71947,1.51288,0.00776,0.47351,0.54891,0.47379,0.21686,1.95391,1.79399,0.01175,0.00085299,0.00085299,0.00085299
25,12659.4,1.70861,1.50404,0.00778,0.5023,0.54229,0.48704,0.22351,1.92281,1.76341,0.0115,0.000822454,0.000822454,0.000822454
26,13163.2,1.7066,1.50967,0.00768,0.49593,0.55044,0.49348,0.22841,1.93179,1.7668,0.0116,0.000791394,0.000791394,0.000791394
27,13666.5,1.70181,1.4852,0.00773,0.48872,0.57553,0.49792,0.22647,1.92998,1.71145,0.01163,0.000759895,0.000759895,0.000759895
28,14171.1,1.7035,1.46088,0.00764,0.48245,0.57713,0.47598,0.22135,1.88721,1.73742,0.01114,0.000728044,0.000728044,0.000728044
29,14675.8,1.68374,1.47837,0.00753,0.50603,0.54512,0.48493,0.2284,1.89568,1.64264,0.01137,0.000695927,0.000695927,0.000695927
30,15179.4,1.68005,1.44334,0.00756,0.51169,0.56435,0.49799,0.22292,1.95113,1.70127,0.01158,0.000663633,0.000663633,0.000663633
31,15683.4,1.67261,1.42105,0.00757,0.49637,0.54773,0.48703,0.22309,1.93414,1.6771,0.01155,0.00063125,0.00063125,0.00063125
