epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,175.708,1.99007,14.5094,0.0115,0.57591,0.13477,0.0713,0.01805,1.9345,5.19345,0.01638,0.000414966,0.000414966,0.000414966
2,342.357,1.99702,3.76017,0.01142,0.39593,0.17916,0.10301,0.02518,2.20112,4.19163,0.01871,0.000831068,0.000831068,0.000831068
3,508.557,2.05986,3.16383,0.01177,0.65202,0.19735,0.15373,0.04828,2.09919,2.84145,0.01807,0.00124491,0.00124491,0.00124491
4,674.471,2.04751,3.0048,0.01172,0.60615,0.17644,0.10316,0.02831,2.29031,3.22565,0.01881,0.00124238,0.00124238,0.00124238
5,839.513,2.0699,2.76494,0.01155,0.6609,0.20832,0.1584,0.05041,2.15527,2.65271,0.01806,0.00123648,0.00123648,0.00123648
6,1005.57,2.01967,2.74171,0.01163,0.65063,0.2224,0.1791,0.05525,2.16291,2.50965,0.01811,0.00122892,0.00122892,0.00122892
7,1171.79,2.04699,2.58494,0.012,0.67434,0.23914,0.20155,0.06457,2.21561,2.35498,0.01922,0.00121972,0.00121972,0.00121972
8,1338.08,2.07877,2.44277,0.01194,0.67148,0.2391,0.2466,0.07259,2.17512,2.35304,0.01902,0.0012089,0.0012089,0.0012089
9,1504.2,2.10887,2.3259,0.01239,0.74675,0.22563,0.26046,0.07575,2.34792,2.23274,0.02043,0.00119651,0.00119651,0.00119651
10,1670.28,2.08725,2.3395,0.01207,0.75525,0.21746,0.25089,0.08191,2.15534,2.31039,0.01807,0.00118256,0.00118256,0.00118256
11,1836.3,2.09279,2.27089,0.012,0.74778,0.22714,0.25494,0.07887,2.22001,2.19366,0.01876,0.0011671,0.0011671,0.0011671
12,2001.65,2.0667,2.27735,0.01196,0.74614,0.23325,0.24924,0.07948,2.22122,2.23401,0.01885,0.00115018,0.00115018,0.00115018
13,2167.38,2.05896,2.19174,0.01176,0.72928,0.23613,0.27923,0.08571,2.23028,2.12273,0.01931,0.00113183,0.00113183,0.00113183
14,2333.75,2.07954,2.11304,0.01213,0.43647,0.4173,0.31952,0.0986,2.29931,2.07732,0.01987,0.00111211,0.00111211,0.00111211
15,2500.64,2.05689,2.13114,0.01199,0.50653,0.34903,0.28543,0.08745,2.28654,2.04824,0.01943,0.00109107,0.00109107,0.00109107
16,2666.39,2.02182,2.13845,0.01145,0.44796,0.40951,0.33547,0.10986,2.21572,1.98828,0.01884,0.00106877,0.00106877,0.00106877
17,2832.5,2.06834,2.00755,0.01215,0.75024,0.25802,0.29345,0.093,2.32736,1.89335,0.01974,0.00104527,0.00104527,0.00104527
18,2997.85,2.0649,1.99181,0.01189,0.28518,0.39022,0.31578,0.10385,2.2508,1.93655,0.01925,0.00102064,0.00102064,0.00102064
19,3163.63,2.00283,2.03649,0.01134,0.53547,0.30596,0.28894,0.09123,2.26294,2.05099,0.01921,0.000994942,0.000994942,0.000994942
20,3328.99,2.01496,1.86665,0.01187,0.41648,0.37057,0.32462,0.11118,2.18857,1.95902,0.01862,0.000968245,0.000968245,0.000968245
21,3495.26,2.00261,1.92066,0.01146,0.23623,0.37359,0.31269,0.10102,2.23391,1.9284,0.01892,0.000940625,0.000940625,0.000940625
22,3660.43,1.99852,1.90101,0.01139,0.32001,0.4012,0.33514,0.10156,2.27482,1.94263,0.01931,0.000912157,0.000912157,0.000912157
23,3825.78,2.01495,1.79916,0.01175,0.54818,0.32622,0.31921,0.10349,2.28126,1.85413,0.01966,0.000882918,0.000882918,0.000882918
24,3990.53,1.96268,1.80392,0.01143,0.28623,0.45921,0.35005,0.11383,2.32192,1.83101,0.01976,0.00085299,0.00085299,0.00085299
25,4156.37,1.97529,1.83124,0.01114,0.28325,0.41027,0.33752,0.11312,2.19737,1.81423,0.01862,0.000822454,0.000822454,0.000822454
26,4321.48,1.94075,1.77138,0.01103,0.30017,0.35162,0.35304,0.12005,2.19878,1.79162,0.01873,0.000791394,0.000791394,0.000791394
27,4487.65,1.88317,1.69458,0.01086,0.29812,0.45775,0.36483,0.11596,2.25049,1.74049,0.01907,0.000759895,0.000759895,0.000759895
28,4653.61,1.95149,1.67634,0.0115,0.32434,0.40692,0.34588,0.11166,2.33243,1.73948,0.01979,0.000728044,0.000728044,0.000728044
29,4820.57,1.93945,1.6772,0.01121,0.40698,0.3652,0.31683,0.10664,2.26182,1.79751,0.01956,0.000695927,0.000695927,0.000695927
30,4986.02,1.92836,1.63998,0.01112,0.3075,0.43416,0.32884,0.10281,2.36285,1.78076,0.02006,0.000663633,0.000663633,0.000663633
31,5151.12,1.89165,1.5474,0.01067,0.34406,0.43634,0.35421,0.12017,2.30175,1.72443,0.01951,0.00063125,0.00063125,0.00063125
32,5317.25,1.89521,1.53119,0.01108,0.39284,0.39316,0.35796,0.12463,2.30383,1.71778,0.01953,0.000598867,0.000598867,0.000598867
33,5483.44,1.88746,1.55105,0.01073,0.43599,0.36221,0.36729,0.12363,2.31367,1.71106,0.0201,0.000566573,0.000566573,0.000566573
34,5648.62,1.84602,1.46608,0.01052,0.39374,0.43198,0.36552,0.12111,2.38325,1.65637,0.02042,0.000534456,0.000534456,0.000534456
35,5814.59,1.83091,1.42022,0.0107,0.37462,0.41475,0.34852,0.11122,2.40094,1.69446,0.0205,0.000502605,0.000502605,0.000502605
36,5979.51,1.82346,1.41443,0.01018,0.38309,0.43366,0.36282,0.11682,2.4051,1.67363,0.0204,0.000471106,0.000471106,0.000471106
37,6144.91,1.86735,1.38522,0.01064,0.51653,0.35058,0.3644,0.1174,2.44252,1.64929,0.02071,0.000440046,0.000440046,0.000440046
38,6310.15,1.80554,1.3494,0.01035,0.31278,0.44308,0.38555,0.12796,2.38109,1.66236,0.02021,0.00040951,0.00040951,0.00040951
39,6476.28,1.79793,1.35786,0.01021,0.38541,0.40023,0.37048,0.11728,2.45266,1.69006,0.02091,0.000379582,0.000379582,0.000379582
40,6641.59,1.74934,1.27224,0.00991,0.37971,0.38861,0.35354,0.11582,2.38907,1.70611,0.02024,0.000350343,0.000350343,0.000350343
41,6807.42,1.76594,1.2763,0.00986,0.45936,0.3886,0.35774,0.12122,2.44058,1.63729,0.02124,0.000321875,0.000321875,0.000321875
42,6972.82,1.74034,1.25784,0.00963,0.38475,0.40567,0.3805,0.12521,2.37244,1.66449,0.02028,0.000294255,0.000294255,0.000294255
43,7138.09,1.70909,1.2317,0.00971,0.38294,0.42161,0.36379,0.11589,2.4718,1.63145,0.02106,0.000267558,0.000267558,0.000267558
44,7302.82,1.71734,1.24343,0.00981,0.37033,0.37953,0.36686,0.11399,2.49938,1.68038,0.02116,0.000241858,0.000241858,0.000241858
45,7468.24,1.71551,1.18037,0.00957,0.41593,0.39305,0.37612,0.12013,2.39712,1.68601,0.02048,0.000217225,0.000217225,0.000217225
46,7633.29,1.67855,1.12366,0.00968,0.37439,0.41219,0.37218,0.11945,2.35585,1.74203,0.0202,0.000193728,0.000193728,0.000193728
47,7798.24,1.65079,1.11851,0.00917,0.37533,0.43293,0.36701,0.11355,2.41342,1.74966,0.02054,0.000171429,0.000171429,0.000171429
48,7963.47,1.65318,1.11345,0.00949,0.32976,0.42787,0.35248,0.11137,2.44175,1.75078,0.02073,0.000150391,0.000150391,0.000150391
49,8128.72,1.6032,1.07177,0.00882,0.33343,0.42836,0.33992,0.10628,2.50883,1.76867,0.0213,0.000130671,0.000130671,0.000130671
50,8294.11,1.6273,1.06168,0.00907,0.42233,0.38061,0.36151,0.11355,2.4562,1.74191,0.02088,0.000112323,0.000112323,0.000112323
51,8460.62,1.74288,0.95329,0.01162,0.3675,0.37643,0.34387,0.11245,2.41678,1.76581,0.02065,9.53968e-05,9.53968e-05,9.53968e-05
52,8626.37,1.66495,0.84993,0.01112,0.37398,0.41558,0.34231,0.11268,2.48212,1.71852,0.02109,7.99397e-05,7.99397e-05,7.99397e-05
53,8792.15,1.60226,0.81413,0.01071,0.37222,0.38289,0.34258,0.10971,2.5273,1.71642,0.02145,6.59937e-05,6.59937e-05,6.59937e-05
54,8957.23,1.56914,0.79965,0.01038,0.34452,0.43416,0.36536,0.11671,2.49423,1.71847,0.02124,5.35971e-05,5.35971e-05,5.35971e-05
55,9121.77,1.58038,0.81076,0.0102,0.38305,0.37102,0.34837,0.11048,2.46887,1.76272,0.021,4.27838e-05,4.27838e-05,4.27838e-05
56,9286.83,1.57378,0.78703,0.01066,0.3713,0.4083,0.34471,0.10946,2.4692,1.78602,0.02094,3.35834e-05,3.35834e-05,3.35834e-05
57,9451.6,1.54918,0.76215,0.01039,0.38662,0.38353,0.34242,0.11004,2.4808,1.75163,0.02105,2.60212e-05,2.60212e-05,2.60212e-05
58,9616.62,1.55797,0.78749,0.01013,0.39008,0.38375,0.34459,0.11187,2.47143,1.77698,0.02102,2.01178e-05,2.01178e-05,2.01178e-05
59,9781.32,1.55215,0.7667,0.0099,0.38965,0.37923,0.34332,0.11222,2.47528,1.78699,0.02103,1.58896e-05,1.58896e-05,1.58896e-05
60,9945.82,1.53859,0.78463,0.01015,0.36134,0.41294,0.34805,0.11121,2.4687,1.798,0.02096,1.3348e-05,1.3348e-05,1.3348e-05
